id,name,sex,height,weight,team
63632,Halina Kodras (-Bartnicka),F,164,59,Poland
63633,Jadwiga Kodras (-Gajos),F,158,54,Poland
63634,Szymon Piotr Koecki,M,181,94,Poland
63635,Karolina Koeczek,F,168,53,Poland
63636,Krzysztof Marek Koomaski,M,169,69,Poland
63637,Kinga Koosiska,F,179,67,Poland
63638,Grzegorz Jan Kotan,M,183,81,Poland
63639,Christian Kpakpo,M,165,57,Ghana
63640,Jonathan Kpakpo Allotey,M,175,73,Ghana
63641,Emric Kpegba,M,,,Togo
63642,Akissi Kpidi,M,,,Cote d'Ivoire
63643,Adzo Rebecca Kpossi,F,158,53,Togo
63644,Vikt'or K'rat'asiuk'i,M,184,80,Soviet Union
63645,Arsne Kra Konan,M,,,Cote d'Ivoire
63646,"Jacob ""Jaap"" Kraaier",M,,,Netherlands
63647,"Pieter Cornelis ""Piet"" Kraak",M,,,Netherlands
63648,"Gerarda Maria ""Gerda"" Kraan (-van der Pol)",F,173,65,Netherlands
63649,Oliver Martin Kraas,M,182,77,South Africa
63650,"Friedrich Hermann Heinrich ""Fritz"" Kraatz",M,,,Switzerland
63651,Victor J. Kraatz,M,178,65,Canada
63652,Jrn Krab,M,184,76,Denmark
63653,Preben Krab,M,168,50,Denmark
63654,Felix Krabbe,M,175,70,Germany
63655,Katrin Krabbe (-Zimmermann),F,182,69,East Germany
63656,Eugne Kracher,M,,,France
63657,Petar S. Krachmarov,M,186,82,Bulgaria
63658,Bror August Kraemer,M,,,Finland
63659,"Alvin Christian ""Al"" Kraenzlein",M,183,75,United States
63660,Carl Adolph Kraft,M,,,Denmark
63661,Erika Kraft,F,,,Germany
63662,Henry Kraft,M,,,United States
63663,Ivonne Kraft,F,186,63,Germany
63664,Karen Kraft (-Rigsby),F,177,71,United States
63665,Anna Sofia Kraft (-Sjstrm),F,170,66,Sweden
63666,Denis Sgui Kragb,M,197,100,Cote d'Ivoire
63667,Constantin Jens August Petersen Krage,M,,,Denmark
63668,Ura Kragelj,F,166,56,Slovenia
63669,Johannes Kragh,M,,,Denmark
63670,Eigil Adolph Kragh Christiansen,M,,,Sonja II
63671,Mareen Krh,F,161,54,Germany
63672,Maria Krahe,F,173,73,Brazil
63673,Annike Berit Krahn,F,173,61,Germany
63674,Adrian Krainer,M,186,75,Austria
63675,Martin Krainz,M,186,83,Austria
63676,"Rudolf ""Rudi"" Kraj",M,186,81,Czech Republic
63677,Slaven Krajai,M,183,91,Croatia
63678,Franjo Krajcar (-Kreutzer),M,168,56,Yugoslavia
63679,Marek Krajovi,M,183,77,Slovakia
63680,Adam Krajewski,M,198,80,Poland
63681,Julia Krajewski,F,168,65,Germany
63682,Przemysaw Krajewski,M,184,87,Poland
63683,Luk Krajek,M,188,94,Czech Republic
63684,Albert Krajmer,M,,,Czechoslovakia
63685,Vladimr Krajk,M,,,Czechoslovakia
63686,Regina Krajnow (-Synoradzka),F,167,57,Poland
63687,Harald Krkenes,M,186,86,Norway
63688,Sverre Krkenes,M,170,75,Norway
63689,Torstein Krkenes,M,,,Norway
