id,name,sex,height,weight,team
42611,Carl Seth Green,M,,,Sweden
42612,Carolyn Virginia Green (-Lewis),F,,,United States
42613,"Chadwick Elton ""Chad"" Green",M,178,84,United States
42614,Charles Richard Green,M,,,Australia
42615,Charles Patrick Green,M,,,Great Britain
42616,Craig Andrew Green,M,180,74,Australia
42617,Cynthia Green,F,,,Jamaica
42618,"Daniel Thomas ""Danny"" Green",M,183,81,Australia
42619,David Michael Green,M,183,70,Australia
42620,"Deborah ""Debbie"" Green (-Vargas)",F,162,55,United States
42621,Dennis Allan Green,M,178,79,Australia
42622,Draymond Jamal Green,M,200,104,United States
42623,Ellia Green,F,172,75,Australia
42624,Eric Hubert Green,M,,,England-1
42625,Erica Lynn Green,F,171,60,South Africa
42626,"Franklin Crawford ""Frank"" Green",M,170,82,United States
42627,"Frank ""Frankie"" Green",M,,,Great Britain
42628,Gavin Kyle Green,M,185,91,Malaysia
42629,"Henry Harold ""Harry"" Green",M,,,Great Britain
42630,Hilary Green,F,,,Great Britain-1
42631,Jack Peter Green,M,193,78,Great Britain
42632,Jake Milton Green,M,192,90,South Africa
42633,James B. Green,M,,,United States
42634,Julian Walter Green,M,173,70,Great Britain
42635,June Margaret Green,F,167,69,Great Britain
42636,Leford Green,M,191,91,Jamaica
42637,Josephine Mary Green (-Tagg),F,166,51,Great Britain
42638,Michael Green,M,180,77,Germany
42639,Michael Green,M,,,Barbados
42640,Michael Green,M,176,73,Jamaica
42641,Michael Green,M,192,89,Great Britain
42642,"Nicholas David ""Nick"" Green",M,196,88,Australia
42643,Paul Green,M,170,57,Great Britain
42644,Peter Valentine Green,M,,,Canada
42645,Roger Allan Green,M,190,90,Canada
42646,Roland Green,M,180,75,Canada
42647,Ross Green,M,170,74,Great Britain
42648,Steve Green,M,183,101,Canada
42649,Stewart Green,M,189,75,Canada
42650,"Susan ""Sue"" Green",F,157,54,Great Britain
42651,"Thomas William ""Tommy"" Green",M,,,Great Britain
42652,"Nicola ""Nicky"" Green-Bethwaite",F,168,69,Australia
42653,Emma Anna-Maria Green-Tregaro,F,180,62,Sweden
42654,Calvin Greenaway,M,180,75,Antigua and Barbuda
42655,Dean H. Greenaway,M,175,78,British Virgin Islands
42656,"Kelvin ""Kelly"" Greenbank",M,182,79,Austria
42657,"Daniel Robert ""Dan"" Greenbaum",M,190,73,United States
42658,Richard Jay Greenberg,M,,,United States
42659,"Alan ""Al"" Greene",M,,,United States
42660,Alice Norah Gertrude Greene,F,,,Great Britain
42661,Cejhae Colin Greene,M,174,72,Antigua and Barbuda
42662,"Charles Edward ""Charlie"" Greene",M,173,69,United States
42663,"David Thomas ""Dai"" Greene",M,185,78,Great Britain
42664,"Deborah ""Debbie"" Greene",F,170,57,Bahamas
42665,Demond William Greene,M,185,95,Germany
42666,Edward Alonzo Greene,M,,,United States
42667,Elizabeth Greene,F,162,57,Canada
42668,"Joseph Tilford Lee ""Joe"" Greene",M,183,70,United States
42669,Maurice Greene,M,176,80,United States
42670,Nancy Catherine Greene (-Raine),F,160,62,Canada
42671,Orlando Greene,M,171,63,Barbados
42672,"Pamela D. ""Pam"" Greene",F,170,55,United States
42673,Paul Haydon Greene,M,184,78,Australia
42674,"Richard Douglas ""Rick"" Greene",M,195,91,United States
42675,Hazel Greene-Pereira,F,165,54,Ireland
42676,Anthony Horace Greenfield,M,178,84,Great Britain
42677,George Howard Greenfield,M,170,66,United States
42678,"Abraham ""Abe"" Greenhalgh",M,,56,Great Britain
42679,Fiona Margret Greenham,F,176,68,Great Britain
42680,Grant Brian Greenham,M,,,Australia
42681,Dorothy Vernon Greenhough-Smith (Muddock-),F,,,Great Britain
42682,Ricardo Dillon Greenidge,M,185,93,Canada-1
42683,"Barbara ""Bunty"" Greenland",F,,,Great Britain
42684,Joel Greenshields,M,193,80,Canada
42685,Karl Christopher Joe Greenwald,M,,,United States
42686,Mark William Greenwald,M,165,68,United States
42687,"Thomas Myers ""Tom"" Greenway",M,178,90,Canada
42688,Craig Dallas Greenwood,M,,,New Zealand
42689,Eric Greenwood Avila,M,179,70,Costa Rica
42690,Harold Gustave Francis Greenwood,M,,,Great Britain
42691,"Jeffrey John ""Jeff"" Greenwood",M,170,71,United States
42692,"Michael M. ""Mike"" Greenwood",M,174,73,Great Britain
42693,"Nimrod ""Nim"" Greenwood",M,,,Australia
42694,Sean Greenwood,M,183,90,Ireland
42695,Edward Ray Breaux Greer,M,188,102,United States
42696,Frank Bartholomew Greer,M,,,United States
42697,Henry Kirk Greer,M,,,United States
42698,Marjolijn Greeve,F,166,60,Netherlands
42699,Mette Gudrun Gregaard,F,,,Denmark
42700,Einer Harry Gregersen,M,,,Denmark
42701,Brian Gregg,M,173,69,United States
42702,Duncan Smith Gregg,M,193,82,United States
42703,Jamie Roy Gregg,M,180,80,Canada
42704,Jessica Gregg,F,174,62,Canada
42705,"Randall John ""Randy"" Gregg",M,193,91,Canada
42706,Richard George Stanhope Gregg,M,,,Ireland-2
42707,"Robert Scott ""Scotty"" Gregg",M,180,79,United States
42708,"Steven Garrett ""Steve"" Gregg",M,193,84,United States
42709,"Terence ""Terry"" Gregg",M,170,67,Great Britain
42710,William Greggan,M,,89,Liverpool Police Team-2
42711,Yahia B. Gregni,M,,,Libya
42712,Antun Grego,M,168,68,Yugoslavia
42713,Bojan Grego,M,,,Croatia
42714,Melania Grego,F,171,72,Italy
42715,Jacques E. Grgoire,M,,,France
42716,Johann Grgoire,M,180,82,France
42717,"Oscar Grgoire, Jr.",M,,,Brussels Swimming and Water Polo Club
42718,Andreas Gregor,M,162,50,East Germany
42719,Frantiek Gregor,M,181,80,Czechoslovakia
42720,Horst-Gnter Gregor,M,189,70,Germany
42721,Pascal Gregor Wiberg,M,189,82,Denmark
42722,Bla Gregorc,M,190,95,Slovenia
42723,John Stanley Gregorek,M,185,75,United States
42724,Teja Gregorin,F,171,56,Slovenia
42725,Silvia Gregorini,F,165,51,Italy
42726,Jadel Abdul Ghani Gregrio,M,202,102,Brazil
42727,Jos Antnio Gregrio,M,164,60,Portugal
42728,Mariza Mariana Gregorio,F,,,Mozambique
42729,Mateus Filipe Gregrio Machado,M,185,108,Brazil
42730,Rossella Gregorio,F,164,60,Italy
42731,Sarah Joelle Gregorius,F,157,56,New Zealand
42732,Alison Gregorka,F,178,73,United States
42733,Boris Gregorka,M,,,Yugoslavia
42734,"Alexander John ""Alex"" Gregory",M,198,97,Great Britain
42735,Elvis Gregory Gil,M,182,82,Cuba
42736,F. L. Gregory,M,,,United States
42737,"John Arthur ""Jack"" Gregory",M,,,Great Britain
42738,"Leonard Stuart ""Leon"" Gregory",M,,,Australia
42739,"Louis Paul ""Lou"" Gregory",M,175,66,United States
42740,Melissa Gregory,F,165,49,United States-2
42741,Richard John Gregory,M,,,Toronto Argonauts
42742,Scott Chase Gregory,M,174,65,United States-3
42743,Alan Gregov,M,190,87,Croatia
42744,Ryan Gregson,M,184,73,Australia
42745,Daniel Mark Greig,M,172,69,Australia
42746,John Keiller Greig,M,,,Great Britain
42747,Marion Ethel Greig,F,180,70,United States
42748,"Michelle ""Mitchey"" Greig",F,174,70,New Zealand
42749,"Anthony Granville ""Tony"" Greig",M,175,69,New Zealand
42750,Thomas Greilinger,M,180,88,Germany
42751,"Cynthia C. ""Cindy"" Greiner (Suggs-)",F,175,62,United States
42752,Janine Greiner,F,168,57,Switzerland
42753,"Robert Lewis ""Robin"" Greiner",M,,,United States-1
42754,Thomas Greiner,M,193,90,East Germany
42755,Simone Greiner-Petter-Memm,F,164,57,East Germany
42756,"Franz ""Frank"" Greinert",M,,,United States
42757,Klaus Greinert,M,184,76,Germany
42758,Andre Greipel,M,184,82,Germany
42759,Michael Greis,M,176,72,Germany
42760,Seth Adam Greisinger,M,193,89,United States
42761,Thomas Greiss,M,185,92,Germany
42762,"Vincenzo ""Vince"" Grella",M,182,78,Australia
42763,"James Edward ""Jim"" Grelle",M,183,68,United States
42764,"Samuel Joseph ""Sam"" Greller",M,,,United States
42765,Olivier Gremaud,M,185,90,Switzerland
42766,Jnos Greminger,M,180,69,Hungary
42767,Gotfryd Gremlowski,M,,,Poland
42768,Angeliki Gremou,F,167,57,Greece
42769,Johan Gunnar Gren (Olsson-),M,175,75,Sweden
42770,Eileen Grench,F,152,59,Panama
42771,Michael Ronald Grenda,M,177,70,Australia
42772,"Adriana Elisabeth ""Jeanne"" Grendel",F,,,Netherlands
42773,Grenet,M,,,France
42774,Natalie Grenier,F,171,62,Canada
42775,Stig-Olof Grenner,M,191,87,Finland
42776,Jean-Marie Grenot,M,,,France
42777,Libania Grenot Martnez (-Scafetti),F,175,60,Italy
42778,Hans Magnus Grepperud,M,195,87,Norway
42779,Milena Greppi,F,,,Italy
42780,Hermann Gre,M,193,94,West Germany
42781,Jean-Pierre Grs,M,182,79,France
42782,Jenna Gresdal,F,170,56,Canada
42783,Louis Auguste Gressier,M,,,France
42784,Raoul Gressier,M,,,France-2
42785,Aksel Hroar Gresvig,M,198,98,Norway
42786,Jerzy Greszkiewicz,M,170,68,Poland
42787,Eugenio R. Gret,M,,,Argentina
42788,Johan Jacob Greter,M,,,Netherlands
42789,Otto Greter,M,,,Switzerland
42790,Charel Grethen,M,180,65,Luxembourg
42791,Edouard Grethen,M,,,Luxembourg
42792,Maurice Grether,M,180,85,France-1
42793,Nicole Grether,F,178,68,Germany
42794,mile Gretsch,M,,,Luxembourg
42795,"John Gretton, Jr.",M,,,Scotia
42796,Eva Maria Gretzer (Liedstrm-),F,165,60,Sweden
42797,Wayne Douglas Gretzky,M,183,84,Canada
42798,Jamie Greubel (-Poser),F,175,76,United States-2
42799,Marcelo Greuel,M,,,Brazil
42800,Bernhard Greulich,M,190,101,Germany
42801,Edwin Greutmann,M,166,69,Switzerland
42802,Ernestus Johannes Christiaan Greven,M,,,Netherlands
42803,"Matthew ""Matt"" Grevers",M,203,105,United States
42804,"Catherine Rose ""Katie"" Greves (-Solesbury)",F,179,71,Great Britain
42805,Kent Douglas Greves,M,187,84,Canada
42806,Julia Emma Greville (-Radley),F,178,67,Australia
42807,Alexi Singh Grewal,M,188,68,United States
42808,George Grey,M,179,76,Canada
42809,Robyn Grey-Gardner,F,172,73,Australia
42810,Benjamn Grez Ahrens,M,181,76,Chile
42811,Cristbal Grez Ahrens,M,178,81,Chile
42812,Dimitrije Grgi,M,191,82,Serbia
42813,Filip Grgi,M,173,68,Croatia
42814,Denis Belyanovich Gribanov,M,190,74,Russia
42815,"Matthew Owen ""Matt"" Gribble",M,180,77,United States
42816,Irina Petrovna Gribko,F,,,Unified Team
42817,Ilze Gribule,F,175,81,Latvia
42818,Mihail Gribuencov,M,175,68,Moldova
42819,"Charles Maxwell ""Charlie"" Grice",M,182,70,Great Britain
42820,Damian Grichting,M,170,68,Switzerland
42821,Andrey Gridin,M,180,74,Bulgaria
42822,John William Grieb,M,175,,United States
42823,Walter Grieb,M,,,Switzerland
42824,Sophia Griebel,F,171,62,Germany
42825,"William Earl ""Bill"" Griebenow",M,192,82,United States
42826,Alan Grieco,M,180,75,United States
42827,Hans Grieder,M,,,Switzerland
42828,Edwin Grienauer,M,,,Austria
42829,John B. Grier,M,,,United States
42830,Gertrude Gries,F,,,Austria
42831,Joachim Griese,M,180,75,West Germany
42832,Angelika Grieser,F,167,59,West Germany
42833,Manfred Klaus Walter Grieser,M,181,91,Germany
42834,Manfred Grieshofer,M,188,87,Austria
42835,Werner Grieshofer,M,170,48,Austria
42836,Fritz Griesser,M,,,Switzerland
42837,Thomas Georg Griesser,M,183,70,Austria
42838,"Elizabeth Joyce ""Joy"" Grieveson (-Watson)",F,167,62,Great Britain
42839,Arthur Dillon Griez von Ronse,M,,,Austria
42840,David Griff,M,,,Australia
42841,Preston Griffall,M,178,70,United States-1
42842,Alfred Griffin,M,,64,Great Britain
42843,"Benjamin ""Ben"" Griffin",M,181,84,New Zealand
42844,Colin Griffin,M,185,70,Ireland
42845,David Francis Griffin,M,,,Canada
42846,Eric Joseph Griffin,M,160,48,United States
42847,Gary Griffin,M,185,85,Guam
42848,"John Allen ""Jack"" Griffin",M,,,Canada
42849,Kelly Griffin,F,163,68,United States
42850,"Kenneth Julian ""Kenny"" Griffin",M,,,United States
42851,Lorna Joann Griffin,F,181,82,United States
42852,Montell Julian Griffin,M,170,81,United States
42853,Niall Griffin,M,185,75,Ireland
42854,Paul Griffin,M,177,70,Ireland
42855,Paul Thomas Griffin,M,167,57,Ireland
42856,Richard B. Griffin,M,178,70,United States Virgin Islands
42857,"Thomas Sydney ""Tom"" Griffin",M,,,Australasia
42858,"Thomas James ""Tommy"" Griffin",M,180,,Great Britain
42859,Winifred Clare Griffin (-Ashby),F,,,New Zealand
42860,"Stuart Lane ""Stu"" Griffing",M,,,United States
42861,Adrian Griffith,M,178,75,Bahamas
42862,Agnes Geraldine Griffith,F,162,54,Grenada
42863,Charles Griffith,M,182,86,Venezuela
42864,David Griffith,M,,,Great Britain-1
42865,Gregory Griffith,M,,,Barbados
42866,June Marcia Griffith (-Collison),F,183,52,Guyana
42867,Michelle Amanda Griffith (-Robinson),F,172,65,Great Britain
42868,"Steven Jerome ""Steve"" Griffith",M,178,84,United States
42869,William Griffith,M,175,75,Canada
42870,Xiomara Yolanda Griffith Mahon,F,170,70,Venezuela
42871,Yolanda Yvette Griffith,F,193,81,United States
42872,Delorez Florence Griffith Joyner,F,170,57,United States
42873,Andrew Peter Griffiths,M,180,79,Canada
42874,"Harold Arthur James ""Art"" Griffiths",M,,,Canada
42875,Arthur J. Griffiths,M,,,Scotland
42876,Barry John Griffiths,M,179,71,New Zealand
42877,"William Salterlee ""Bill"" Griffiths",M,,,Great Britain
42878,Cecil Richmond Griffiths,M,,,Great Britain
42879,"David ""Dave"" Griffiths",M,175,64,Great Britain
42880,David James Griffiths,M,,,Great Britain
42881,Dean Horace Griffiths,M,180,73,Jamaica
42882,"Gwendolien ""Gwen"" Griffiths (-van Rensburg)",F,174,50,South Africa
42883,Katia Griffiths,F,173,55,Spain
42884,Peter H. Griffiths,M,,,Great Britain
42885,"Philip W. ""Phil"" Griffiths",M,191,70,Great Britain
42886,Ryan Alan Griffiths,M,183,76,Australia
42887,Sam Griffiths,M,171,73,Australia
42888,"Stephen ""Steve"" Griffiths",M,175,65,Jamaica
42889,William Edward Griffiths,M,,,Australia
42890,Marcel Grifne,M,178,76,Belgium
42891,"Everardus ""Evert"" Grift",M,,,Netherlands
42892,Darius Grigalionis,M,195,95,Lithuania
42893,Oto Grigalka,M,192,110,Soviet Union
42894,Jakub Grigar,M,183,81,Slovakia
42895,Apolinaras Grigas,M,183,80,Soviet Union
42896,Martha Griggs,F,152,67,Canada
42897,Roberto Giacomo Grigis,M,186,82,Italy
42898,Giovanni Grignolo,M,,,Italy
42899,Gert Rudolf Grigoleit,M,191,82,United States
42900,Nicola Grigolo,M,188,84,Italy
42901,Marius Grigonis,M,198,88,Lithuania
42902,Aristidis Grigorakis,M,170,68,Greece
42903,Anca Grigora (-Mihilescu),F,167,54,Romania
42904,Cristina Grigora,F,184,72,Romania
42905,Cristina Elena Grigora,F,156,44,Romania
42906,Ioan Grigora,M,,,Romania
42907,Andreea Florentina Grigore,F,146,39,Romania
42908,Daniel Grigore,M,,,Romania
42909,Sorina Grigore (-icu),F,169,63,Romania
42910,Tatyana Grigorenko,F,150,38,Belarus
42911,Claudia Laura Grigorescu (-Van),F,,,Romania
42912,Aristidis Grigoriadis,M,196,76,Greece
42913,Tatiana Grigorieva,F,180,64,Australia
42914,Georgios Grigoriou,M,,,Greece
42915,Marilia Grigoriou,F,178,57,Cyprus
42916,Anastasija Grigorjeva,F,169,65,Latvia
42917,Stanislav Vasilev Grigorov,M,,,Bulgaria
42918,Rayna Ivanova Grigorova,F,163,55,Bulgaria
42919,Antoniya Grigorova-Burgova,F,167,58,Bulgaria
42920,Mihai Grigorovici,M,188,81,Romania
42921,Yury Nikolayevich Grigorovsky,M,178,83,Soviet Union
42922,Aghvan Grigoryan,M,,98,Armenia
42923,Artur Razmikovich Grigoryan,M,174,60,Unified Team
42924,Kirill Akopovich Grigoryan,M,179,88,Russia
42925,Aleksandr Nikolayevich Grigoryev,M,188,84,Soviet Union
42926,Leonid Grigoryev,M,,,Soviet Union
42927,Oleg Georgiyevich Grigoryev,M,156,54,Soviet Union
42928,Sergey Grigoryev,M,180,70,Soviet Union
42929,Vladimir Viktorovich Grigoryev,M,178,83,Ukraine
42930,Vyacheslav Grigoryev,M,,,Unified Team
42931,Kseniya Grigoryeva,F,180,60,Uzbekistan
42932,Lidiya Nikolayevna Grigoryeva (Nikiforova-),F,163,49,Russia
42933,Marina Gennadyevna Grigoryeva,F,170,58,Russia
42934,Nataliya Grigoryeva,F,,,Unified Team
42935,Yelena Anatolyevna Grigoryeva,F,159,48,Belarus
42936,Alison Mary Grigson,F,164,53,Australia
42937,Adhemar Grij Filho,M,174,,Brazil
42938,"Johannes Antonius Constantius Marie ""Jan"" Grijseels",M,,,Netherlands
42939,Gregor Grilc,M,,,Slovenia
42940,Konrad Grilc,M,,,Yugoslavia
42941,Hildegard Grill (Leeb-),F,,,Austria
42942,Hans Harald Anders Grillhammar,M,189,87,Sweden
42943,Amedeo Grillo,M,,,Italy
42944,Emiliano Grillo,M,175,78,Argentina
42945,Gabriela Grillo,F,178,63,West Germany
42946,Santiago Enrique Grillo Diez,M,185,74,Colombia
42947,Lus Manuel Pereira Grilo,M,162,57,Portugal
42948,Giorgio Grilz,M,,,Italy
42949,Hollie Louise Grima (-Florance),F,190,84,Australia
42950,Clemence Grimal,F,176,70,France
42951,Albert Alexandre Louis Pierre Grimaldi,M,181,85,Monaco
42952,Christian Alain Bernard Grimaldi,M,185,79,France
42953,Martina Grimaldi,F,172,65,Italy
42954,Esteban Mauricio Grimalt Fuster,M,190,88,Chile
42955,Marco Alfonso Grimalt Krogh,M,195,90,Chile
42956,David Griman,M,169,51,Venezuela
42957,Chantal Grimard,F,165,56,Belgium
42958,Ricardo Grimau,M,,,Argentina
42959,Jean-Pierre Grimaud,M,186,88,France
42960,Eric G. Grimbeek,M,,,South Africa
42961,Vanessa Grimberg,F,176,63,Germany
42962,Petra Jerona Grimbergen,F,169,54,Netherlands
42963,"Lynnette Kay ""Lyn"" Grime (-Massey, -O'Connor)",F,174,60,New Zealand
42964,John Carl Grimek,M,,88,United States
42965,"Helen Elizabeth ""Betty"" Grimes (-Lindley)",F,175,,United States
42966,Charles Livingstone Grimes,M,200,99,United States
42967,Connor Grimes,M,185,85,Canada
42968,Doris Grimes,F,,,Great Britain
42969,Hamil O. Grimes,M,175,69,Barbados
42970,Martyn Andrew Grimley,M,183,78,Great Britain
42971,Grimm,M,,,France
42972,Alexander Grimm,M,188,88,Germany
42973,Jnos Grimm,M,,,Hungary
42974,Oliver Grimm,M,178,75,Switzerland
42975,Torben Risgaard Grimmel,M,182,90,Denmark
42976,Herman Johan Wilhelm Grimmelmann,M,,,Denmark
42977,Brbel Grimmer,F,168,61,Germany
42978,Gerhard Grimmer,M,174,70,East Germany
42979,Wayne Grimmer,M,178,68,Canada
42980,Geoffrey Richard Grimmett,M,190,84,Great Britain
42981,Mark R. Grimmette,M,185,90,United States-1
42982,Bjrn Grimnes,M,184,95,Norway
42983,Flix Gustave Marie Joseph Grimonprez,M,,,France
42984,Kari Aalvik Grimsb,F,180,80,Norway
42985,Stian Grimseth,M,187,150,Norway
42986,Stuart Ian Grimshaw,M,195,78,New Zealand
42987,Anthon Grimsmo,M,186,74,Norway
42988,Valdimar Grmsson,M,,,Iceland
42989,Gudmund Jarl Grimstad,M,,,Norway
42990,Anton Grimus,M,194,105,Australia
42991,Lina Grinikait (-Samuole),F,167,62,Lithuania
42992,Alan Joseph Grindal,M,169,55,Australia
42993,David Allan Grindley,M,188,79,Great Britain
42994,Brittney Yevette Griner,F,203,94,United States
42995,Wendy Elizabeth Griner (-Ballantyne),F,156,56,Canada
42996,Inka Grings,F,168,59,Germany
42997,Marlon Almiro Grings,M,172,65,Brazil
42998,"Frederick ""Fred"" Grinham",M,,,United States
42999,"Judith Brenda Grinham (-Rowley, -Roe)",F,,,Great Britain
43000,Kjersti Elizabeth Grini,F,178,72,Norway
43001,Lars Grini,M,182,78,Norway
43002,Theodoros Griniazakis,M,177,67,Greece
43003,Boris Grinkevich,M,196,112,Belarus
43004,Sergey Mikhaylovich Grinkov,M,183,74,Soviet Union-1
43005,"Matthew ""Matt"" Grinlaubs",M,192,91,Australia-2
43006,"Ronald Sydney ""Ron"" Grinstead",M,180,90,Great Britain
43007,Anatol Grinescu,M,186,89,Romania
43008,Leonid Vladimirovich Grinyov,M,,,Russia
43009,Anna Sergeyevna Grinyova,F,185,87,Russia
43010,Ragnar Fredrik Gripe,M,,,K.S.S.S. 1912-2
43011,Carl Gripenstedt,M,,,Sweden
43012,Ebba Gripenstedt,F,,,Sweden
43013,"Philip Salvatore ""Phil"" Grippaldi",M,168,77,United States
43014,Carlo Grippo,M,180,65,Italy
43015,Carlos Mario Grisales,M,159,57,Colombia
43016,Gianpaolo Grisandi,M,178,75,Italy
43017,Albert Jean Martin Grisar,M,,,Antwerpia V
43018,Alfred Felix Grisar,M,,,Belgium
43019,Eugne Grisar,M,,,Belgium-2
43020,Alphonse Grisel,M,,,France
43021,Boris Andreyevich Grishayev,M,165,50,Soviet Union
43022,Nadezhda Sergeyevna Grishayeva,F,195,82,Russia
43023,Sergey Nikolayevich Grishchenko,M,174,67,Soviet Union
43024,Alla Vladimirovna Grishchenkova,F,171,62,Soviet Union
43025,"Oksana Vladimirovna ""Pasha"" Grishchuk",F,164,50,Unified Team-3
43026,Aleksey Gennadyevich Grishin,M,170,70,Belarus
43027,Anatoly Kuzmich Grishin,M,181,87,Soviet Union
43028,Boris Dmitriyevich Grishin,M,191,90,Soviet Union
43029,Yevgeny Borisovich Grishin,M,189,93,Soviet Union
43030,Yevgeny Romanovich Grishin,M,174,78,Soviet Union
43031,Anastasiya Nikolayevna Grishina,F,146,37,Russia
43032,Oksana Yuryevna Grishina,F,160,58,Russia
43033,Yelena Borisovna Grishina,F,180,76,Soviet Union
43034,Oleg Pavlovich Grishkin,M,175,72,Russia
43035,Alfredo Grisi Solrzano,M,,,Mexico
43036,Louis Grisius,M,183,80,Luxembourg
43037,Mindaugas Grikonis,M,190,92,Lithuania
43038,Eugne Franois Grisot,M,,,France
43039,Werner Grissmann,M,183,86,Austria
43040,Daniel Gritsch,M,172,67,Austria
43041,Marina Aleksandrovna Gritsenko,F,173,64,Kazakhstan
43042,Eduard Vyacheslavovich Gritsun,M,179,72,Russia
43043,Lauma Grva,F,181,62,Latvia
43044,Louis Grivel,M,,,Switzerland
43045,Philippe Grivel,M,177,65,Switzerland
43046,Igor Anatolyevich Grivennikov,M,198,90,Soviet Union
43047,Zakharin Mikhaylov Grivev,M,,,Bulgaria
43048,Alfred Grixti,M,167,63,Malta
43049,Paola Grizzetti,F,179,71,Italy
43050,Boo Grkini,M,,,Yugoslavia
43051,Tsgabu Gebremaryam Grmay,M,175,63,Ethiopia
43052,Vasile Groap,M,175,100,Romania
43053,Duncan Grob Urza,M,176,75,Chile
43054,Jakob Grob,M,191,85,Switzerland
43055,Rainer Grob Urza,M,,,Chile
43056,Thoms Grob Urza,M,174,78,Chile
43057,Dov Grobermann,M,151,52,Israel
43058,Helen Grobert,F,175,57,Germany
43059,Ernesto Grobet Palacios,M,,,Mexico
43060,Ursula Grobler,F,173,60,South Africa
43061,Wilfried Grbner,M,182,70,East Germany
43062,Patrick Groc,M,183,78,France
43063,Barbara Grocholska (-Kurkowiak),F,169,54,Poland
43064,Zygmunt Grodner,M,178,78,Poland
43065,Hans Grodotzki,M,175,65,Germany
43066,Stefan Grodzicki,M,184,73,Poland
43067,Amos Grodzinowsky,M,174,65,Israel
43068,Annemarie Groen (-Toornstra),F,,,Netherlands
43069,"Robert Jacques ""Rob"" Groen",M,185,81,Netherlands
43070,Tiemen Groen,M,185,85,Netherlands
43071,Richard Groenendaal,M,176,64,Netherlands
43072,Renee Joanne Groeneveld,F,167,62,Netherlands
43073,"Abraham ""Bram"" Groeneweg",M,,,Netherlands
43074,Renate Titzia Groenewold,F,180,74,Netherlands
43075,Rosalind Groenewoud,F,177,62,Canada
43076,"Robert Gijsbertus ""Rob"" Groenhuyzen",M,187,85,Netherlands
43077,Oswald Jacob Groenings (-Birkbeck),M,,,Great Britain
43078,Kristian Groenintwoud,M,196,96,Australia
43079,Zdenk Groessl,M,189,89,Czechoslovakia
43080,dn Grf,M,,,Hungary
43081,Sarah Brooke Groff-True,F,173,63,United States
43082,David Grogan,M,,,Great Britain
43083,"James David ""Jim"" Grogan",M,,,United States
43084,Patrick Grogan,M,,,St. Louis Amateur Athletic Association
43085,David Grogono,M,,,Cayman Islands
43086,Keith Leslie Grogono (-Keith),M,,,Paka
43087,Klaus Grogorenz,M,180,75,Germany
43088,Brigitte Christine Groh,F,,,West Germany
43089,Jrgen Groh,M,181,74,West Germany
43090,Klaus Groh,M,170,75,West Germany
43091,Tim Grohmann,M,194,98,Germany
43092,Karolna Grohov,F,170,66,Czech Republic
43093,Herbert Grohs,M,,,Austria
43094,Rgis Groisard,M,185,76,France
43095,"Hindrik Harmannus Arnoldus ""Henk"" Grol",M,190,100,Netherlands
43096,Lucie Grolichov,F,182,67,Czech Republic
43097,Otto Grolimund,M,,,Switzerland
43098,Herman Charles Groman,M,,,United States
43099,Gudrun Grmer,F,,,Austria
43100,Nikolay Gromov,M,196,96,Soviet Union
43101,Lyudmila Pavlovna Gromova,F,157,52,Soviet Union
43102,Mariya Igorevna Gromova,F,172,61,Russia
43103,Mariya Sergeyevna Gromova,F,170,62,Russia
43104,Rolf Axel Einar Grnberg,M,,,Sweden
43105,Andreas Gustaf Grnberger,M,,,Sweden
43106,Gunnar Richard Grnblom,M,,,Sheerio
43107,Edgar Richard Grnblom,M,181,79.5,Finland
43108,Sven Edgar Grnblom,M,183,83,Sheerio
43109,Kelpo Olavi Grndahl,M,,,Finland
43110,Robert Grondelaers,M,,,Belgium
43111,Bernd Grne,M,196,85,West Germany
43112,Anna-Lena Grnefeld,F,180,78,Germany-1
43113,Iris Inga Grnfeldt,F,172,64,Iceland
43114,Torsten Gustav Magnus Henning Grnfors,M,,,Sweden
43115,ke Edvard Grnhagen,M,,,Sweden
43116,Kurt Rolf Grnholm,M,181,81.5,Finland
43117,Kurt Peter Grnholm,M,180,65,Finland
43118,Sari Karrin Elisabet Grnholm,F,163,60,Finland
43119,Dieter Grning,M,157,52,Australia
43120,Peter Grning,M,170,65,Germany
43121,"Ignatius ""Iggy"" Gronkowski",M,,,United States
43122,Ernst Aleksander Grnlund,M,,,Finland
43123,Timo Tapio Grnlund,M,176,78,Finland
43124,Jouni Johannes Grnman,M,160,67.5,Finland
43125,Tuomas Oskar Grnman,M,192,95,Finland
43126,Andrzej Jerzy Gronowicz,M,176,75,Poland
43127,Janusz Ignacy Gronowski,M,175,73,Poland
43128,Tadeusz Lucjan Gronowski,M,,,Poland
43129,Brje Johannes Grnroos,M,190,76,Finland
43130,Nils Ragnar Johannes Grnvall,M,,,Sweden
43131,Angus Groom,M,195,94,Great Britain
43132,Conal P. Groom,M,185,73,United States
43133,"Margaret Keyes Groos (Lane-, Thomas-, -Sloan)",F,167,54,United States
43134,"Bernardus ""Ber"" Groosjohan",M,,,Netherlands
43135,"Jeanette Hendrika ""Nettie"" Grooss",F,,,Netherlands
43136,Chantal Groot,F,175,62,Netherlands
43137,"Cornelis ""Cor"" Groot",M,179,79,Netherlands
43138,Cornelia Nycke Groot,F,175,70,Netherlands
43139,Stefan Groothuis,M,181,78,Netherlands
43140,Joan Groothuysen,F,167,57,Canada
43141,Grard Gropaiz,M,183,66,France
